,Gymnast ID,Name,Team,VT,UB,BB,FX,AA
0,31652,Amber Boll,Air Force,9.735,9.790,0,0,0
2,31653,Velandra Brochi,Air Force,9.715,9.720,9.765,9.740,38.690
6,30582,Briona Carswell,Air Force,0,0,9.810,9.695,0
8,31658,Ayla McKean,Air Force,9.770,9.805,9.745,9.815,39.045
11,30182,Natalie Meyer,Air Force,0,0,0,9.700,0
12,30800,Grace Nelson,Air Force,9.455,9.690,0,0,0
14,31661,Genevieve Sabado,Air Force,9.690,9.800,9.840,9.835,39.035
19,30184,Valerie Smith,Air Force,0,0,9.750,0,0
20,30185,Cameo Stapleton,Air Force,0,0,0,9.850,0
21,30186,Daija Stevenson,Air Force,0,0,9.765,9.780,0
24,30177,Grace Bardes,Air Force,0,9.670,0,0,0
47,31663,Tessa Volpe,Air Force,9.585,0,0,0,0
108,31659,Gabriella Meccia,Air Force,9.660,0,0,0,0
312,30804,Shania Adams,Alabama,0,9.835,0,0,0
316,30786,Luisa Blanco,Alabama,9.755,9.940,9.940,9.900,0
319,30787,Ella Burgess,Alabama,0,0,9.900,0,0
320,30343,Makarri Doggette,Alabama,9.825,9.935,0,0,0
323,29844,Emily Gaskins,Alabama,0,9.820,0,9.630,0
327,25061,Lexi Graber,Alabama,9.865,0,9.905,9.945,0
329,30806,Cam Machado,Alabama,0,9.905,0,9.860,0
331,31248,Jordyn Paradise,Alabama,9.845,0,0,0,0
332,30345,Mati Waligora,Alabama,0,9.815,9.880,9.800,0
348,31247,Lilly Hudson,Alabama,9.820,9.875,9.900,9.920,0
353,29851,Shallon Olsen,Alabama,9.900,0,9.845,9.830,0
356,30042,Kaylee Quinn,Alabama,9.835,0,0,0,0
579,30808,Montana Fairbairn,Alaska,0,0,9.560,0,0
580,31249,Shannon Farrell,Alaska,0,0,9.770,0,0
581,30810,Jessica Johnson,Alaska,0,9.710,9.765,9.600,0
583,30811,Brooklyn Kopsack,Alaska,9.565,0,0,0,0
585,30812,Alyssa Manley,Alaska,9.535,9.775,0,9.705,0
588,30813,Allie McClure,Alaska,9.600,9.175,0,0,0
591,31250,Hayley Perkins,Alaska,0,9.485,0,9.275,0
594,25114,Kylie Reese,Alaska,9.600,9.595,0,9.670,0
