,Team,VT,UB,BB,FX,Team Score
0,Air Force,48.505,48.725,48.780,48.990,194.670
312,Alabama,49.400,49.535,49.445,49.490,197.790
576,Alaska,47.700,48.040,48.100,48.035,191.695
815,Arizona,48.965,49.095,49.180,49.265,196.300
1079,Arizona State,49.275,49.270,49.220,49.190,196.905
1319,Arkansas,49.235,49.225,49.275,49.305,196.820
1582,Auburn,49.400,49.490,49.485,49.500,197.650
1870,Ball State,49.040,48.800,48.920,48.970,195.585
2180,Boise State,49.125,49.445,49.080,48.990,196.560
2396,Bowling Green,48.745,48.475,48.785,48.810,194.245
2684,Bridgeport,47.170,46.685,47.985,47.500,188.515
2898,Brockport,48.110,47.870,47.890,48.350,191.995
3114,Brown,48.700,48.785,48.115,48.380,193.695
3401,BYU,49.155,49.190,49.240,49.355,196.640
3688,California,49.240,49.420,49.390,49.405,197.330
3952,Centenary College,47.745,46.185,47.480,47.540,188.135
4166,Central Michigan,49.080,49.030,48.910,49.270,196.140
4430,Cornell,48.390,47.865,48.110,48.530,192.110
4670,Cortland State,46.850,43.905,45.605,47.650,183.825
4884,Denver,49.180,49.370,49.395,49.215,196.960
5141,Eastern Michigan,48.595,48.840,48.790,48.885,194.880
5401,Florida,49.540,49.540,49.600,49.605,198.135
5664,George Washington,49.105,49.020,48.950,49.155,196.075
5975,Georgia,49.235,49.135,49.140,49.345,196.575
6239,Gustavus Adolphus,46.925,44.715,44.655,46.255,182.235
6424,Hamline,45.805,43.325,45.105,46.195,180.525
6592,Illinois,49.195,49.275,49.240,49.315,196.775
6880,Illinois State,49.015,48.845,48.540,49.080,195.230
7192,Iowa,49.190,48.955,49.190,49.435,196.700
7481,Iowa State,49.235,49.035,49.015,49.240,196.430
7744,Ithaca College,47.475,46.450,47.370,47.895,188.410
7984,Kent State,48.975,49.125,49.020,49.310,196.055
8248,Kentucky,49.315,49.435,49.170,49.415,197.250
8488,Lindenwood,48.695,48.655,48.815,48.865,194.700
8752,LIU,48.705,48.735,48.700,48.830,194.395
9038,LSU,49.455,49.420,49.445,49.475,197.735
9276,Maryland,49.220,49.310,49.085,49.150,196.765
9564,Michigan,49.610,49.525,49.365,49.635,198.015
9828,Michigan State,49.215,49.280,49.380,49.470,197.165
10116,Minnesota,49.385,49.445,49.195,49.620,197.440
10356,Missouri,49.230,49.200,49.345,49.450,197.195
10596,Nebraska,49.055,49.110,49.195,49.035,196.080
10858,New Hampshire,48.855,49.005,48.880,49.095,195.625
11122,North Carolina,49.020,49.090,49.155,49.180,196.225
11385,North Carolina State,48.955,49.110,49.215,49.240,196.330
11673,Northern Illinois,48.770,49.065,48.915,49.255,195.790
11961,Ohio State,49.165,49.285,49.195,49.390,196.890
12248,Oklahoma,49.450,49.580,49.580,49.585,198.140
12536,Oregon State,49.285,49.155,49.390,49.410,197.155
12776,Penn State,49.050,49.220,48.655,49.285,196.060
13039,Pennsylvania,48.920,48.975,48.920,48.875,195.235
13303,Pittsburgh,48.930,49.170,49.050,49.065,195.860
13564,Rhode Island College,46.745,43.645,46.925,47.515,184.270
13780,Rutgers,49.100,48.810,49.020,49.235,195.735
14068,S.E. Missouri,48.335,48.335,48.595,48.880,193.695
14327,Sacramento State,48.790,48.420,48.590,48.630,193.955
14591,San Jose State,49.005,49.150,49.115,49.200,196.260
14831,Southern Conn.,48.405,48.175,47.940,48.000,191.310
15142,Southern Utah,49.085,49.275,49.070,49.125,196.535
15405,Springfield College,47.175,44.415,47.130,47.540,185.505
15595,Stanford,49.065,49.100,49.135,49.380,196.435
15856,Temple,49.085,48.915,49.050,49.210,195.770
16168,Texas Woman's,48.925,48.630,48.840,49.085,195.240
16455,Towson,49.065,49.075,49.200,49.140,196.265
16767,UC Davis,49.050,48.815,48.810,49.255,195.915
17031,UCLA,49.240,49.255,49.355,49.420,197.090
17271,Ursinus College,47.055,46.110,46.765,46.910,186.670
17481,Utah,49.400,49.485,49.675,49.590,197.920
17769,Utah State,49.045,49.130,49.335,49.325,196.550
18055,UW-Eau Claire,46.140,44.400,46.170,46.165,182.570
18223,UW-La Crosse,47.455,47.165,47.525,47.590,189.525
18415,UW-Oshkosh,47.820,47.425,47.645,47.740,190.760
18607,UW-Stout,47.295,46.010,47.215,47.335,187.570
18775,UW-Whitewater,47.875,47.515,47.480,47.845,190.955
18964,Washington,49.160,49.095,49.300,49.130,196.550
19251,West Chester,48.405,48.340,48.405,48.920,193.245
19539,West Virginia,49.005,49.055,49.060,49.345,196.315
19803,Western Michigan,48.985,48.910,49.155,49.240,196.215
20043,William & Mary,47.830,47.190,47.770,48.075,190.290
20282,Winona State,46.755,44.525,45.930,46.520,183.615
20474,Yale,48.465,48.750,48.365,48.660,194.110
